journal_code,journal,doi,title,authors,published,volume,issue,pages,final_decision,decision_stage,reason,local_pdf,source_category
MS,Management Science,10.1287/mnsc.2015.2171,Milking the Quality Test: Improving the Milk Supply Chain Under Competing Collection Intermediaries,Liying Mu; Milind Dawande; Xianjun Geng; Vijay Mookerjee,2016-05,62,5,1259-1277,ebsco_unavailable,ebsco_candidate_ledger,目标/相邻责任编辑领域（operations management）；摘要含强建模信号，需全文确认模型为实质贡献。,,
MS,Management Science,10.1287/mnsc.2015.2172,The Design of Experiential Services with Acclimation and Memory Decay: Optimal Sequence and Duration,Aparupa Das Gupta; Uday S. Karmarkar; Guillaume Roels,2016-05,62,5,1278-1296,ebsco_unavailable,ebsco_candidate_ledger,目标责任编辑领域（operations management）且主题属于 OM/IS/Marketing；摘要模型证据不足，保留供全文审查。,,
MS,Management Science,10.1287/mnsc.2015.2173,The Impact of Demand Uncertainty on Consumer Subsidies for Green Technology Adoption,Maxime C. Cohen; Ruben Lobel; Georgia Perakis,2016-05,62,5,1235-1258,ebsco_unavailable,ebsco_candidate_ledger,目标/方法责任编辑领域（operations management）；有多项建模线索且无明显纯实证信号。,,
MS,Management Science,10.1287/mnsc.2015.2175,United We Stand or Divided We Stand? Strategic Supplier Alliances Under Order Default Risk,Xiao Huang; Tamer Boyacı; Mehmet Gümüş; Saibal Ray; Dan Zhang,2016-05,62,5,1297-1315,ebsco_unavailable,ebsco_candidate_ledger,目标/相邻责任编辑领域（operations management）；摘要含强建模信号，需全文确认模型为实质贡献。,,
MS,Management Science,10.1287/mnsc.2015.2363,An Analytics Approach to Designing Combination Chemotherapy Regimens for Cancer,Dimitris Bertsimas; Allison O’Hair; Stephen Relyea; John Silberholz,2016-05,62,5,1511-1531,ebsco_unavailable,ebsco_candidate_ledger,目标/方法责任编辑领域（stochastic models and systems）；有多项建模线索且无明显纯实证信号。,,
ISR,Information Systems Research,10.1287/isre.2017.0729,An Economic Analysis of Customer Co-design,Amit Basu; Sreekumar Bhaskaran,2018-12,29,4,786-787,ebsco_unavailable,ebsco_candidate_ledger,catalog prior: candidate_theory,,
ISR,Information Systems Research,10.1287/isre.2017.0755,"Service Agreement Trifecta: Backup Resources, Price and Penalty in the Availability-Aware Cloud",Shuai Yuan; Sanjukta Das; R. Ramesh; Chunming Qiao,2018-12,29,4,947-964,ebsco_unavailable,ebsco_candidate_ledger,formal/model signals: formal results,,
ISR,Information Systems Research,10.1287/isre.2017.0764,Decomposing the Variance of Consumer Ratings and the Impact on Price and Demand,Steffen Zimmermann; Philipp Herrmann; Dennis Kundisch; Barrie R. Nault,2018-12,29,4,984-1002,ebsco_unavailable,ebsco_candidate_ledger,formal/model signals: explicit model construction,,
ISR,Information Systems Research,10.1287/isre.2017.0765,Recommender System Rethink: Implications for an Electronic Marketplace with Competing Manufacturers,Lusi Li; Jianqing Chen; Srinivasan Raghunathan,2018-12,29,4,1003-1023,ebsco_unavailable,ebsco_candidate_ledger,borderline model/method language retained for full-text review,,
ISR,Information Systems Research,10.1287/isre.2020.0293,The Effectiveness of Regulations on the Dual-Role Retailer’s Data Use for Sellers,Yeongin Kim; Seokjun Youn; Kyung Sung Jung; Young Kwark,2026-09-04,,,,ebsco_unavailable,ebsco_candidate_ledger,borderline model/method language retained for full-text review,,
